date,bikes_hired,Baseline,A,B,C,D,E
2014-01-01,4327,23779.60572414,25659.13799547,24027.58012823,23649.37387371,18802.60128572,17734.64468669
2014-01-02,15820,23981.84302521,25938.05875648,25136.44835144,23961.48746273,23015.97414623,23103.07542974
2014-01-03,11636,23981.84302521,24415.52470939,24347.75961329,22333.25867199,16719.91856799,17206.12117920
2014-01-04,6918,22970.65651987,21166.02844135,20161.95987453,19118.85440100,17709.85004337,17577.44586659
2014-01-05,9145,20746.04620813,16758.44847082,15540.88873011,20125.10151367,19218.34634680,15884.77412820
2014-01-06,13066,26509.80928855,26136.23505107,25359.17122543,22611.58098341,16487.37463911,17390.84343765
2014-01-07,17420,25498.62278321,27412.03734482,27226.57801204,23550.47165654,17644.46064370,18490.45424635
2014-01-08,19770,24386.31762734,26265.15742540,24759.89143145,23336.27036973,24188.99007187,25190.05700486
2014-01-09,19143,23880.72437467,25837.05551815,25781.45261170,26366.66648965,24329.95171623,22785.73801757
2014-01-10,18840,21352.75811133,21789.44051303,20649.58274459,22310.97082849,23676.62090371,22807.30328764
2014-01-11,15723,21251.63946079,19448.97338989,19116.54793692,18534.05480615,19685.96266904,20724.82869228
2014-01-12,11975,19027.02914905,15041.39341936,13647.67789636,16528.05838818,14902.11776592,14391.50253830
2014-01-13,17721,22465.06326720,22096.10551822,21062.48082275,20122.62598833,19055.55906667,19927.43811000
2014-01-14,20740,20038.21565439,21957.86247546,21887.28893931,20330.50402173,22312.09104237,23748.46759774
2014-01-15,19243,24184.08032627,26063.15094876,23526.68895154,22722.34578266,20878.04127931,21462.03177840
2014-01-16,18861,24184.08032627,26140.06523312,24875.90991909,22467.01239927,23585.48161949,24700.50113163
2014-01-17,17434,22465.06326720,22900.47613457,21447.13989106,19764.38699644,19452.80773307,20258.35091767
2014-01-18,15333,23375.13112200,21570.04139464,20508.86759398,18384.75856971,18742.90488679,19792.02842211
2014-01-19,16083,21858.35136400,17869.48409236,16903.64514068,16056.47284377,18056.34472412,19417.50145181
2014-01-20,21218,18319.19859531,17954.97274704,16340.95321615,18590.39761829,20757.45607237,20410.49699707
2014-01-21,21756,18015.84264371,19937.79770903,18295.66704572,20212.47887845,18952.95574134,20474.02971102
2014-01-22,21072,22161.70731560,24043.08618233,22337.16393037,22280.83272616,20876.81109685,21337.82033190
2014-01-23,20020,20442.69025652,22402.94541523,21974.84525620,21797.69172773,20354.43203624,21326.56579817
2014-01-24,19272,19835.97835332,20274.39193821,19747.34613470,20221.64912862,20510.78626310,21257.08332044
2014-01-25,14581,22768.41921880,20964.02196471,19675.62785074,21180.56711343,15495.63812077,15462.03190862
2014-01-26,7033,20442.69025652,16455.43875586,16466.61711072,18192.22494606,15850.91942281,13640.87231639
2014-01-27,18285,19633.74105225,19268.01484522,19582.85412274,20857.51699347,19055.03780961,18370.63744822
2014-01-28,19939,21251.63946079,23169.90133532,22302.25576956,22485.91018951,23939.58943159,23616.02248812
2014-01-29,10585,20543.80890706,22427.03436919,21615.66075667,18904.40519081,16547.75201459,19163.76376271
2014-01-30,17052,20240.45295546,22200.93893858,20519.60020825,19012.11376128,17685.72260549,20271.30727964
2014-01-31,13859,20644.92755759,21082.41784478,19351.13442142,19965.57233278,16899.66189635,17782.66740546
2014-02-01,13981,22465.06326720,20661.01224975,21227.11255947,19577.03040912,15004.28999586,15761.50956048
2014-02-02,15924,22262.82596613,18273.49704564,19309.49303649,18446.30253666,16080.77456246,16642.19449661
2014-02-03,20370,20948.28350919,20581.05694340,20119.87283686,19389.48458900,18606.21486860,20883.27840426
2014-02-04,21217,21757.23271346,23674.91752693,24305.32766115,23321.34388107,21534.43710970,22538.62197524
2014-02-05,29418,23071.77517040,24952.11532722,25353.27124553,23698.84691167,16907.08506301,18203.38151408
2014-02-06,25395,22970.65651987,24928.02637326,24339.82896082,23269.95994685,18068.32328579,17926.62319925
2014-02-07,19857,22667.30056827,23102.48261121,22700.52805897,21559.55616167,17830.00610839,19136.11029637
2014-02-08,10928,23172.89382094,21368.03491800,21879.61886652,18984.46093815,13814.40988162,16497.47133677
2014-02-09,11657,21959.47001453,17970.48733068,20376.52123313,17467.94149236,12927.39148078,14540.18470305
2014-02-10,19278,20644.92755759,20278.04722843,19168.33223315,19446.49787182,19644.23906041,20430.77339267
2014-02-11,18514,19937.09700385,21856.85923714,22451.55044756,21606.23180296,16517.70192957,16724.91056934
2014-02-12,18000,21049.40215973,22932.05056079,23820.58952829,23620.47051357,18339.52467154,17908.20505979
2014-02-13,20954,20543.80890706,22503.94865355,24902.70777256,23180.82513182,21588.31988271,22034.78984040
2014-02-14,12794,21656.11406293,22092.45022800,21580.93766029,26465.05072943,17408.39235182,12912.06001816
2014-02-15,11208,23880.72437467,22075.05758625,24227.72296587,21227.64008781,12416.81549552,14339.40723040
2014-02-16,18484,20847.16485866,16859.45170914,18206.33730242,18948.18197477,18561.23223408,19875.21142432
2014-02-17,19013,22465.06326720,22096.10551822,20961.55238273,22922.52736700,22127.82252534,22914.76817486
2014-02-18,19484,23375.13112200,25290.96934007,23573.46129859,23039.13751633,23849.00418739,25240.31301713
