term,coefficient
Intercept,21677.01565912515
temp,656.6985140264349
precip,-120.37654864556967
windspeed,-208.1636351755684
visibility,127.38705079146793
solarenergy,430.7411660722772
post_price_change,-4405.83003004365
temp_precip,-21.412296148820104
day_Mon,0.0
day_Tue,2326.482462237108
day_Wed,2510.681154860466
day_Thu,2456.1337029515325
day_Fri,766.2185694520654
day_Sat,-1272.1943614914376
day_Sun,-3573.5760650247335
season_Autumn,0.0
season_Spring,-3742.087570116392
season_Summer,-2810.9194374805957
season_Winter,-3480.1166540476324
